term|english
བདེན་པ་དང་རིགས་པ་བརྗོད་པ་|you speak the truth: your words are truly wise
བདེན་པ་དབྱེར་མེད་ཆེན་པོ་|the great inseparability of the [two] truths, [view of dbu ma thal 'gyur pa]
བདེན་པ་གཅིག་པོའི་ལེའུའི་མདོ་|Satyaka Parivara Sutra, Chapter of The True One Sutra
བདེན་པ་གཉིས་ཀྱི་དེ་ཁོ་ན་ཉིད་|the thatness of the two truths
བདེན་པ་གཉིས་|Two truths. Relative truth and ultimate truth. Relative truth describes the seeming, superficial and apparent mode of all things. Ultimate truth describes the real, true and unmistaken mode. These two aspects of reality are defined by the Four Philosophical Schools as well as the tantras of Vajrayana in different ways, each progressively deeper and closer to describing things as they are
བདེན་པའི་བརྟུལ་ཞུགས་|follow the truth
བདེན་པའི་བྱིན་གྱིས་བརླབས་པ་|inspiration of truth
བདེན་པའི་བྱིན་རླབས་མཛད་པ་ཙམ་གྱིས་|[when Ananda prayed over the prince,] merely speaking words of truth
བདེན་པའི་དབང་ཕྱུག་|the power of truth
བདེན་པའི་གཏན་ཚིགས་|true reasoning, maxim
བདེན་པའི་མཐུ་མཐོང་རྒྱུན་ཏུ་ཞུགས་པའི་འབྲས་བུ་ཐོབ་བོ་|seeing the power of truth, she obtained the fruit of Stream-Winner
བདེན་པའི་སྡེ་|{blon po bden pa'i sde zhes bya ba} the minister Satyasena
བདེན་པའི་སྟོབས་བརྗོད་པ་|proclaiming the power to the truth
བདེན་པ་ལ་མཁས་པར་བྱ་བ་|to become learned in what is true [the four noble truths]
བདེན་པ་ལྟར་འོང་བ་|{kho'i rdzun de bden pa ltar 'ong ba yin pa} those lies of his come true
བདེན་པ་མཐོང་བ་|1) perception of the truth; seeing the truth; direct perception of truth / true nature. 2) to see what is true
བདེན་པར་བསམས་ནས་|thinking this to be true
བདེན་པར་འདོད་པ་|to regard as / believe to be real
བདེན་པར་འཛིན་པ་|to hold as real, invest with truth / authenticity / true existence
བདེན་པར་འཛིན་|to hold as true / factual, believe in
བདེན་པར་གྲུབ་པ་|truly established
བདེན་པར་མ་གྲུབ་པ་|to not possess true existence
བདེན་པར་མེད་པ་|nonexistent as true entities
བདེན་པ་རྣམ་བཞི་|four truths. The truth of suffering {sdug bsngal gi bden pa}, the truth of the origin of suffering {kun 'byung ba'i bden pa}, the truth of its cessation {'gog pa'i bden pa}, and the truth of the path {lam gyi bden pa}
བདེན་པར་རྟོག་པ་|thinking ... as truly existent
བདེན་པར་སྨྲ་བ་|to speak truthfully
བདེན་པར་ཡོད་པ་|true existence, truly existent
བདེན་པར་ཞེན་པ་|to fixate upon something as true / truly existent
བདེན་པས་སྟོང་|empty, devoid of reality
བདེན་རྫུན་གང་ཡིན་མི་ཤེས་|when you can't tell what's true or false
བདེན་རྫུན་རེས་འཇོག་གི་ཞེན་པ་|the clinging of alternating truth and falsehood
བདེན་རྫུན་|truth or falsity
བདེན་སྟོབས་|power of the truth
བདེན་སྟོང་|empty of true existence/ nature
བདེན་ཏེ་|it is true that
བདེན་|true, right, authentic, real, genuine, verifiable; truth, reality, substance; adj. comp. of {bden po} true, right, authentic, real, genuine, verifiable, truth, reality, substance
བདེན་ཚིག་བཀའ་བསྒོས་སྲུང་བ་|protective ritual with the protective utterance of truth
བདེན་ཚིག་བརྗོད་|bsod nams kyi bden tshig brjod pa - declared the truth of his merit
བདེན་ཚིག་བརྗོད་ནས་|declares the truth, speaking words of truth
བདེན་ཚིག་|truth, true words, words of truth, true speech
བདེ་ཉམས་|the bliss experience; temporary experience of bliss, one of the three {nyams}
བདེན་ཞེན་|fixation, clinging to things as being real, true
བདེན་ཞིང་རིགས་སམ་སྙམ་|Is this true or not?
བདེའོ་|How delightful!
བདེ་པོ་|1) well, in good health. 2) comfortable 3) [v +--] easy, convenient
བདེར་བཞག་པ་|to rest at ease
བདེར་གཤེགས་སྙིང་པོ་གསུམ་|the three aspects of sugata-essence, {gzhi dus kyi rang bzhin rnam dag} the natural purity at the time of the ground, {'bras dus kyi glo bur bral dag} the purity of freedom from momentary [stains] at the time of fruition, {lam dus kyi dag la ma dag} the partial purity at the time of the path]
བདེར་གཤེགས་སྙིང་པོ་སེམས་རིག་དབྱེར་མེད་|sugata-essence of undifferentiated sem and rigpa
བདེར་གཤེགས་སྙིང་པོ་|sugatagarbha, sugata-essence, _buddha- nature,_ _enlightened essence_
བདེར་|whichever you like, at your pleasure
བདེ་སྡུག་བརྗེས་པ་|ex {bdag gzhan bde sdug rjes shig} give up your happiness in exchange for others' suffering!
བདེ་སྡུག་བཏང་སྙོམས་|pleasure, pain and indifference; pleasant, painful and indifferent / neutral
བདེ་སྡུག་གི་རྟེན་སེམས་|mind, the support for pleasure and pain
བདེ་སྡུག་གི་སྣང་བ་|experiences of pleasure, pain
བདེ་སྡུག་གཉིས་|pleasure and pain
བདེ་སྡུག་|{so so'i lus dang bde sdug} the individual bodies, pleasure and pain
བདེ་སྡུག་ངོ་མ་ཟིན་པར་|not recognizing the nature of happiness and suffering
བདེ་སྡུག་ཉམས་སུ་མྱོང་བ་|to undergo joy and sorrow
བདེ་སྡུག་རང་མཚན་པ་|ordinary pleasure and pain
བདེ་སྡུག་སྤེལ་མར་མྱོང་བྱེད་ཀྱི་ལས་|actions which cause alternating experiences of pleasure and pain
བདེ་སྡུག་ཚོར་བ་|pleasant or painful sensations
བདེ་ཤོས་|simplest
བདེ་སྐྱེད་|happiness, joy, well-being
བདེ་སྐྱིད་|peace, comfort and happiness
བདེ་སྐྱིད་ཀྱི་དཔལ་|prosperity and happiness
བདེ་སྐྱིད་ཀྱི་ཉི་མ་གསར་དུ་ཤར་བ་|a new sun of happiness and well-being dawned
བདེ་སྐྱིད་ལྷ་དང་འགྲན་པ་|matched the happiness of celestial beings
བདེ་སྐྱིད་མྱོང་བ་|experience happiness and bliss
བདེ་སྐྱིད་ཉི་མ་འཆར་|the sun of happiness will shine
བདེ་སྐྱིད་སྙན་གསུམ་ཆེ་བ་|much happiness, comfort, and renown
བདེ་སྐྱིད་སྙན་གསུམ་|happiness, well-being, and renown
བདེ་སྐྱོང་|bliss-sustainer, guardian of happiness, skull; skull; bliss-sustaining. Same as kapala
བདེ་སྐྱོང་གི་འཁོར་ལོ་|bliss maintaining wheel, chakra, [fifth chakra]
བདེ་སྐྱོང་འཁོར་ལོ་|bliss sustaining wheel
བདེ་སྨོན་གྱི་སྤྱི་བཤད་བྱང་ཆུབ་སེམས་དཔའི་མྱུར་ལམ་|a detailed commentary on the bde chen smon lam of karma chags med rin po che; by {O rgyan bstan 'dzin nor bu}
བདེ་སྨོན་|rnam dag bde chen zhing gi smon lam; prayer (pranidhana) to be reborn in the Sukhavati paradise of Amitabha buddha; by {karma chags med mkhas grub r'a ga a syas} (17th cent)
བདེ་སྤྱོད་|prosper, Decho, Khachö _easily traveling_, same as {mkha' spyod} _sky traveler_
བདེ་སྟོང་|empty bliss / blissful emptiness; [when one _thing_] bliss-emptiness, [when the union of two] bliss and emptiness; bliss and emptiness, bliss-emptiness
བདེ་སྟོང་དབྱེར་མེད་དུ་སྦྱོར་བའི་གནད་|the key point of how to merge bliss with emptiness
བདེ་སྟོང་དབྱེར་མེད་|indivisible bliss and emptiness
བདེ་སྟོང་དབྱེར་མེད་ཀྱི་ཉམས་རྟོགས་ཁྱད་པར་ཅན་|exceptional experience and realization of indivisible bliss and emptiness; extraordinary experience and realization of bliss-emptiness
བདེ་སྟོང་གི་དཀྱིལ་ཀྲུང་|with legs in the posture of empty bliss / blissful emptiness
བདེ་སྟོང་གི་ཉམས་མྱོང་|the experience of bliss and emptiness
བདེ་སྟོང་གི་འོད་གསལ་|the luminosity of bliss and emptiness
བདེ་སྟོང་གི་རྟོགས་པ་|realization of bliss-emptiness
བདེ་སྟོང་གི་ཡེ་ཤེས་|wisdom of blissful emptiness
བདེ་སྟོང་གི་ཡེ་ཤེས་སྐྱེད་པ་|arouse the primal wisdom of bliss and emptiness
བདེ་སྟོང་ལྷན་ཅིག་སྐྱེས་པའི་ཡེ་ཤེས་|the wisdom of bliss emptiness inseparable from beginningless time until now
བདེ་སྟོང་ལོངས་སྤྱོད་རྫོགས་སྐུ་|sambhogakaya of empty bliss / blissful emptiness
བདེ་སྟོང་མཉམ་པ་ཉིད་|equality of blissful emptiness
བདེ་སྟོང་ཉམས་འབར་|the experience of blissful emptiness blazed forth
བདེ་སྟོང་ཕྱག་ཆེན་|Mahamudra of blissful emptiness / bliss and emptiness
བདེ་སྟོང་སྐབས་སུ་ཁ་སྦྱོར་བཞི་|the fourfold union at the time of blissful emptiness
བདེ་སྟོང་ཏིང་འཛིན་|the samadhi of blissful emptiness / bliss and emptiness
བདེ་སྟོང་ཡེ་ཤེས་|wisdom of empty bliss / blissful emptiness; primordial wakefulness that is blissful yet empty
བདེ་སྟོང་ཟུང་འཇུག་གི་ཕྱག་རྒྱ་ཆེན་པོ་|Mahamudra of the unity of bliss and emptiness
བདེ་སྟོང་ཟུང་འཇུག་|union, unity of bliss and emptiness
བདེ་ཐང་|plains, flatlands; health
བདེ་ཏིང་ངེ་བ་|blissful, pure bliss
བདེ་ཞད་|delighted laughter
བདེ་ཞིང་སྐྱིད་པ་|enjoys happiness and well-being
བདེ་ཞིང་སྐྱིད་པའི་ཐབས་|the means to generate happiness
བདེ་ཞིང་སྐྱིད་པར་ཤོག་|may they be joyous and happy!
བདེ་ཞུས་|good wishes
བདེ་ཞུས་སྨོན་ལམ་གྱི་མགུར་|song of good wishes
བདོ་བ་|{bdo ba, bdo ba, bdo ba} intr. v.; 1) to be rampant, abound, occur, be acutely / vividly present; be on the rise; blast, rage; increase, spread, injure someone; 2) abundance, exuberance
བདོག་པ་|to own
བདོག་པ་སྦྱིན་པ་|giving
བདོག་|to have, be in the possession of, to be existent; to possess/ to get; all that is his; to be possessed of
བདོལ་|imp. of {bdal ba}
བདོ་འཕྲོ་|on the increase
བདོ་|rampant; to increase, spread (esp. evil) 12.1
བདོར་|imp. of {bdar ba}
བདྲ་དོན་རྟགས་གསུམ་|symbol, meaning and sign. The three principles of symbol, meaning and sign are described in this way: 'Meaning' is the indivisible essence of cognizance and emptiness. 'Symbol' is the pure nature as the mandala of the deity. 'Sign' is what causes realization of that, the application of the aspects of deity, mantra and original wakefulness. 
བདུབ་པ་|ft. of {'bubs pa}
བདུད་བཅོམ་སྡེ་བརྒྱད་བྲན་དུ་ཁོལ་བ་|crushes demons, and binds the eight classes of spirits in servitude
བདུད་བློན་|evil-minded ministers, chieftains
བདུད་བྲལ་མ་|next to {dbu ma} channel
བདུད་བཏུལ་|subdue the demon Mara, tamer of the demon mara
བདུད་བཞི་|[TRS 61-2] acc. to gcod; expl; [TRS 61-3]; the four maras. 1) {phung po bdud} demon of the aggregates. the demon of the aggregates, {nyon mongs pa'i bdud}, the demon of the emotional disturbances, {'chi bdag gi bdud}, the demon of the Lord of Death, {lha'i bu'i bdud} the demon of the godly son]
བདུད་བཞི་ཕྲ་མོ་|four subtle maras
བདུད་བཞི་རགས་པ་|four coarse maras
བདུད་དང་མུ་སྟེགས་ལྷ་སྲིན་|heathens, demons, gods and spirits
བདུད་|Mara. Demon or demonic influence that creates obstacles for practice and enlightenment. Mythologically said be a powerful god who dwells in the highest abode in the Realm of Desire; the master of illusion who attempted to prevent the Buddha from attaining enlightenment at Bodhgaya. For the Dharma practitioner, Mara symbolizes one's own ego-clinging and preoccupation with the eight worldly concerns. Generally, there are four maras or obstructions to practice of the Dharma: those of defilements, death and the aggregates, and the godly mara of seduction. Sometimes the four maras are mentioned by name; Lord of Death, Godly Son, Klesha and Skandha
བདུད་དགའ་རབ་དབང་ཕྱུག་|the Mara Garab Wangchuk; the king of the maras
བདུད་དཔུང་|hordes of Mara
བདུད་འདུལ་ཀར་མ་གུ་རུ་|Düdül Karma Guru, a wrathful form of Guru Padmasambhava
བདུད་འདུལ་མ་|Subduer of Mara, Düdülma. Dakini teacher
བདུད་འདུལ་ནུས་ལྡན་རྡོ་རྗེ་|tertön of {dam chos sprul sku'i snying thig}
བདུད་འདུལ་ཕུག་|Düdül Phuk, at Labchi. Cave of the Subjugation of Mara
བདུད་འདུལ་རྡོ་རྗེ་|spo bo gter ston (1615-1672)
བདུད་འདུལ་སྔགས་པ་གླིང་|Mara-Taming Mantra Temple. A temple at Samye
བདུད་འདུལ་|tamer of Mara
བདུད་གནས་|abode of Mara
བདུད་འཇོམས་|defeater of Mara
བདུད་འཇོམས་དྲག་སྔགས་གླིང་པ་|{gter ston} 1871-1936 or 7
བདུད་འཇོམས་གླིང་པ་|gter ston - (b. 1835)
བདུད་འཇོམས་འཇིགས་བྲལ་ཡེ་ཤེས་རྡོ་རྗེ་|1904-87
བདུད་འཇོམས་ཁྲོས་མ་ནག་མོའི་ཁྲིད་ཡིག་ཆེན་མོ་|nye brgyud gcod kyi khrid yig gsal bar bkod pa legs bshad bdud rtsi'i rol mtsho - a detailed introduction to the practice of the gcod teachings according to the revelations of bdud 'joms gling pa focusing upon {ma gcig khros ma nag mo}; by {sprul sku padma lung rtogs rgya mtsho}
བདུད་འཇོམས་རིན་པོ་ཆེ་|Dudjom Rinpoche; (1904-1987) The incarnation of the great treasure revealer Dudjom Lingpa. A great modern day master and tertön of the Nyingma lineage
བདུད་འཇོམས་རིན་པོ་ཆེ་འཇིགས་བྲལ་ཡེ་ཤེས་རྡོ་རྗེ་|1903-1987 - Dudjom Rinpoche Jigdrel Yeshe Dorje, a preeminent master of the Nyingma tradition
བདུད་ཀྱི་དབང་འགྲོ་|fall under the power of Mara
བདུད་ཀྱི་གནས་|abode of Mara
བདུད་ཀྱི་གཤེད་ཆེན་|Dükyi Shechen, Slayer of Demons. One of the 12 manifestations of Guru Rinpoche {rnam 'phrul bcu gnyis}
བདུད་ཀྱི་ལས་ལ་ཡང་དག་པར་འདས་པ་|to pass completely beyond the reach Mara's actions
བདུད་ཀྱི་ལས་|the work of Mara
བདུད་ཀྱི་ལྟ་བ་|the evil views of demons
བདུད་ཀྱི་མདའ་ལྔ་|the five arrows of Mara
བདུད་ཀྱི་རིས་|abode of the maras
བདུད་ཀྱི་སྡེ་|Syn. {bdud sde}: hosts of Mara, mara's legions; maras. [mss]
བདུད་ཀྱི་སྒྱུ་འདུལ་བ་|to subdue the trickery of Mara
བདུད་ཀྱི་སྒྱུ་|Mara's trickery
བདུད་ཀྱི་སྒྱུ་མ་|through Mara's delusions
བདུད་ཀྱི་ཐིབས་ཀྱིས་ནོན་པ་|struck by Mara's dullness
བདུད་ཀྱི་ཡུལ་|realm of mara
བདུད་ལས་རྒྱལ་བ་|victorious over Mara
བདུད་ལས་རྣམ་རྒྱལ་|complete victory over Mara
བདུད་ལྔ་བཟློག་པ་|[TRS 115-3]
བདུད་ལྔ་|five maras
བདུད་མགོན་|maranatha, [Epithet of gayadhara, the protector of the vajrayogini sadhana]
བདུད་མགོན་སེང་གདོང་|protective deity
བདུད་མགོན་སེང་གེའི་གདོང་ཅན་|Lion-faced Dügön; name of terma protector
བདུད་མོ་བཞི་|four demonesses
བདུད་མོ་|demoness, she-mara, female demon, witch
བདུད་པོ་|devil; {'chi bdag bdud po kho} that devil, the Lord of Death
བདུད་པོ་ཡབ་རྗེ་ནག་པོ་|Düpo Yabje Nagpo
བདུད་རྒྱལ་|king of maras
བདུད་རིགས་|maras, class / category of maras
བདུད་རྗེ་འབར་བ་|fiery lord of demons; {snying kha nag po bdud rje 'bar ba} name of terma protector
བདུད་རྩི་འབེབས་སྦྱངས་|downpour and purification with nectar
བདུད་རྩི་བུམ་ཆེན་|the grand vase of amrita
བདུད་རྩི་ཆོས་སྨན་|sman sgrub - sacred medicine
བདུད་རྩི་|sman - Amrita
བདུད་རྩི་གཏེར་མཛོད་|{bdud rtsi gter mdzod} [end of the 7th rabjung by zur mkhar mnyam nyid rdo rje a collection of medicines R]
བདུད་རྩི་གཏོང་བ་|to dispense the elixir of immortality
བདུད་རྩིའི་ཆར་བབས་|a rain of ambrosia fell
བདུད་རྩིའི་གཏེར་|a treasure trove of ambrosia
བདུད་རྩིའི་ཀ་པ་ལ་|amrita vessel represents a human skull filled with amrita
བདུད་རྩིའི་རྒྱ་མཚོ་|ocean of nectar
བདུད་རྩིའི་རིལ་བུ་|nectar pill
བདུད་རྩིའི་སྤྲིན་ཕུང་|cloud-bank of amrita
བདུད་རྩིའི་ཐིག་པ་|Drop of Amrita, by Shabkar
བདུད་རྩིའི་ཐིགས་པ་|a drop of amrita
བདུད་རྩི་འཁྱིལ་བ་|Amrita kundali; Amrita Kundali. deity practiced particularly to eliminate negative influences
བདུད་རྩི་ལས་འཁྲུངས་པའི་ལྷ་མོ་ཤིན་ཏུ་མཛེས་པ་|the most beautiful of the goddesses who had been born from the nectar of the gods
བདུད་རྩི་ལྔ་|five nectars / amritas. [Samaya substances of Anuttara Yoga tantra: urine, excrement, blood, semen and brains]
བདུད་རྩི་མྱང་བ་|gsung gi bdud rtsi myang ba - to savor the nectar of his words / speech
བདུད་རྩི་པད་མོའི་གཙུག་བྱ་བ་|called Asutapadmacuda, Crowned by Lotuses
བདུད་རྩིར་གྱུར་པ་|turning into nectar
བདུད་རྩི་རིལ་བུ་|amrita pills
བདུད་རྩི་རོལ་པ་ཆེ་ཆུང་|Major and Minor Nectar Display. One of the Eighteen Mahayoga Tantras
བདུད་རྩི་རོལ་པའི་རྒྱུད་|Nectar Display Tantra. One of the Five Display Tantras among the Eighteen Mahayoga Tantras
བདུད་རྩི་རོལ་པའི་སྐོར་|one of the {rol pa'i rgyud sde lnga} the five tantras which are additions to the Sadhana Section{sgrub sde}
བདུད་རྩིས་|by nectar
བདུད་རྩིས་གང་བ་|full of amrita
བདུད་རྩི་སྨན་|Nectar Medicine, Amrita Medicine. 1) The nectar of immortality. 2) Same as Nectar Quality; a deity
བདུད་རྩི་སྨན་སྒྲུབ་|nectar-elixir, the sadhana of making sacred medicine
བདུད་རྩི་སྣ་ལྔ་|five nectars
བདུད་རྩི་སྙིང་པོ་ཡན་ལག་བརྒྱད་པ་གསང་བ་མན་ངག་གི་རྒྱུད་ལས་དུམ་བུ་བཞི་པ་ཕྱི་མ་རྒྱུད་ཀྱི་གཞུང་དང་འགྲེལ་བ་མུན་སེལ་སྒྲོན་མ་|a detailed commentary on the fourth of the _four medical tantras_ (rgyud bzhi); by {ngag dbang dkon mchog bstan rgyal}
བདུད་རྩི་སྤྲོ་|1) emitting amrita; 2) moon; 3) [for a] month [R zla thog lo bzhag lo khar zla mthud]; 3) a count of not more than a month; 4) semen [R]
བདུད་རྩི་ཐབས་སྦྱོར་གྱི་ཕྱག་|one of the {phyag rgya drug} the six mudras [in rituals]
བདུད་རྩི་འཐུང་བ་བཞིན་|like drinking nectar; x {tshig gi bdud rtsi 'thung ba bzhin} drink in the words like nectar
བདུད་རྩི་ཡལ་བར་མ་དོར་|do not let this nectar dissipate
བདུད་རྩི་ཡོན་ཏན་|Nectar Quality. One of the Eight Sadhana Teachings. The heruka of the ratna family or the tantric teachings connected with that deity; one of {sgrub pa sde brgyad}
བདུད་སྡེ་|maras, hosts of Mara
བདུད་སྡིག་ཅན་|the wicked Mara. {gzhan 'phrul dbang byed na bdud sdig can gnas pa} the wicked Mara dwells in Mastery Over Others' Creations
བདུད་ཤོར་བ་གཞོན་ནུ་|Youthful Escaper Mara; a name of Padmasambhava
བདུད་ཞུགས་|possessed by Mara
བདུག་པ་|Syn {gdug spos}; ft. of {bdug pa}; {bdug pa, bdugs pa, bdug pa, bdugs} trans. v
བདུག་རྫས་|fragrant substances for incense
བདུག་རྫས་ལོག་འདྲེན་ཀུན་འཇོམས་|the incense substance Destroyer of Misguiding Forces; [from the byang gter khyung nag - Black Garuda of the Jangter tradition]
བདུགས་|imp. of {bdug pa}; p. of {bdug}; enveloped
བདུགས་པ་|pf. of {bdug pa}
བདུག་སྤོས་མ་|Dhupa, [female bodhisattva, offering goddess]. incense goddess
བདུག་|to scent, to fill with scent, odor
བདུན་|1) seven. 2) week
བདུན་འབུམ་|seven hundred thousand
བདུན་ཅུ་རྩ་བདུན་|seventy seven
བདུན་ཅུ་རྩ་དྲུག་|seventy six
བདུན་ཅུ་|seventy
བདུང་བ་|{bdung ba, bdungs pa, bdung ba, bdungs} trans. v.; ft. of {bdung ba}
བདུན་གཅིག་|one week
བདུངས་|imp. of {bdung ba}
བདུངས་པ་|pf. of {bdung ba}
བདུན་གྱི་བདུན་|seven of seven; syn. for the sun
བདུན་ཀ་|all seven
བདུན་ཁྲི་བདུན་སྟོང་|seventy seven thousand
བདུན་ཁྲི་|seventy thousand
བདུན་མཐོ་བའི་མཚན་བཟང་|excellent mark of seven protuberances
བདུན་མཐོ་བ་|seven protuberances. one of the {skyes bu chen po'i mtshan sum bcu rtsa gnyis} the thirty marks of a great being
བདུན་ཕྲག་བདུན་|49
བདུན་པོ་|the seven
བདུན་རེའི་ནང་དུ་|each week
བདུན་རྣམ་དག་|Seven pure aspects. Same as the 'seven branches' (yan lag bdun)
བདུན་ཚིགས་ཀྱི་དགེ་བ་|weekly virtuous acts [for the deceased]
བདུན་ཚིགས་|weekly
བདུར་བ་|to belong to a class
འབེབས་ལྔ་|1) {bar 'bebs}. 2) {brkyang 'bebs} 3) {'bebs chen} 4) {brkyang bskum 'bebs} 5) {rdo rje thog 'bebs}
འབེབས་པ་|{phob} to send/ bring down; to cause to fall
བེ་བཏབ་པ་ལྷར་|like a peg driven into solid grounds
བེ་འབུམ་|be'u bum
བེ་ཅོན་|club; a pestle
བེ་ཅོན་ལྗང་ནག་ཝའི་མགོ་|Danda, club, dark green, fox-headed
བེད་|advantage, profit, gain, high price, interest; advantage, dearness
བེད་བཅད་|usefulness/ advantage
བེད་སྤྱོད་བྱེད་པ་|to exploit, be exploited; use, employ, apply, utilize
བེད་སྤྱོད་|to use, employ, utilize, apply
